t,time,next_erupt_time,wait_time_minutes
2007-04-07 22:12,2007-04-07T22:12:00Z,2007-04-07T21:00:00Z,72
2007-04-07 23:54,2007-04-07T23:54:00Z,2007-04-07T22:12:00Z,102
2007-04-08 1:24,2007-04-08T01:24:00Z,2007-04-07T23:54:00Z,90
2007-04-08 2:54,2007-04-08T02:54:00Z,2007-04-08T01:24:00Z,90
2007-04-08 4:24,2007-04-08T04:24:00Z,2007-04-08T02:54:00Z,90
2007-04-08 5:42,2007-04-08T05:42:00Z,2007-04-08T04:24:00Z,78
2007-04-08 7:18,2007-04-08T07:18:00Z,2007-04-08T05:42:00Z,96
2007-04-08 8:42,2007-04-08T08:42:00Z,2007-04-08T07:18:00Z,84
2007-04-08 9:42,2007-04-08T09:42:00Z,2007-04-08T08:42:00Z,60
2007-04-08 11:24,2007-04-08T11:24:00Z,2007-04-08T09:42:00Z,102
2007-04-08 12:54,2007-04-08T12:54:00Z,2007-04-08T11:24:00Z,90
2007-04-08 14:18,2007-04-08T14:18:00Z,2007-04-08T12:54:00Z,84
2007-04-08 15:54,2007-04-08T15:54:00Z,2007-04-08T14:18:00Z,96
2007-04-08 17:36,2007-04-08T17:36:00Z,2007-04-08T15:54:00Z,102
2007-04-08 19:12,2007-04-08T19:12:00Z,2007-04-08T17:36:00Z,96
2007-04-08 20:42,2007-04-08T20:42:00Z,2007-04-08T19:12:00Z,90
2007-04-08 22:18,2007-04-08T22:18:00Z,2007-04-08T20:42:00Z,96
2007-04-08 23:54,2007-04-08T23:54:00Z,2007-04-08T22:18:00Z,96
2007-04-09 1:24,2007-04-09T01:24:00Z,2007-04-08T23:54:00Z,90
2007-04-09 3:00,2007-04-09T03:00:00Z,2007-04-09T01:24:00Z,96
2007-04-09 4:24,2007-04-09T04:24:00Z,2007-04-09T03:00:00Z,84
2007-04-09 5:54,2007-04-09T05:54:00Z,2007-04-09T04:24:00Z,90
2007-04-09 7:30,2007-04-09T07:30:00Z,2007-04-09T05:54:00Z,96
2007-04-09 9:00,2007-04-09T09:00:00Z,2007-04-09T07:30:00Z,90
2007-04-09 12:06,2007-04-09T12:06:00Z,2007-04-09T09:00:00Z,186
2007-04-09 15:06,2007-04-09T15:06:00Z,2007-04-09T12:06:00Z,180
2007-04-09 16:36,2007-04-09T16:36:00Z,2007-04-09T15:06:00Z,90
2007-04-09 18:00,2007-04-09T18:00:00Z,2007-04-09T16:36:00Z,84
2007-04-09 21:12,2007-04-09T21:12:00Z,2007-04-09T18:00:00Z,192
2007-04-09 22:30,2007-04-09T22:30:00Z,2007-04-09T21:12:00Z,78
2007-04-10 0:06,2007-04-10T00:06:00Z,2007-04-09T22:30:00Z,96
2007-04-10 1:30,2007-04-10T01:30:00Z,2007-04-10T00:06:00Z,84
2007-04-10 3:12,2007-04-10T03:12:00Z,2007-04-10T01:30:00Z,102
2007-04-10 4:36,2007-04-10T04:36:00Z,2007-04-10T03:12:00Z,84
2007-04-10 6:12,2007-04-10T06:12:00Z,2007-04-10T04:36:00Z,96
2007-04-10 7:30,2007-04-10T07:30:00Z,2007-04-10T06:12:00Z,78
2007-04-10 13:24,2007-04-10T13:24:00Z,2007-04-10T07:30:00Z,354
2007-04-10 14:54,2007-04-10T14:54:00Z,2007-04-10T13:24:00Z,90
2007-04-10 19:30,2007-04-10T19:30:00Z,2007-04-10T14:54:00Z,276
2007-04-10 20:54,2007-04-10T20:54:00Z,2007-04-10T19:30:00Z,84
2007-04-10 22:36,2007-04-10T22:36:00Z,2007-04-10T20:54:00Z,102
2007-04-11 0:12,2007-04-11T00:12:00Z,2007-04-10T22:36:00Z,96
2007-04-11 1:30,2007-04-11T01:30:00Z,2007-04-11T00:12:00Z,78
2007-04-11 3:00,2007-04-11T03:00:00Z,2007-04-11T01:30:00Z,90
2007-04-11 4:24,2007-04-11T04:24:00Z,2007-04-11T03:00:00Z,84
2007-04-11 5:54,2007-04-11T05:54:00Z,2007-04-11T04:24:00Z,90
2007-04-11 7:24,2007-04-11T07:24:00Z,2007-04-11T05:54:00Z,90
2007-04-11 8:54,2007-04-11T08:54:00Z,2007-04-11T07:24:00Z,90
2007-04-11 10:18,2007-04-11T10:18:00Z,2007-04-11T08:54:00Z,84
2007-04-11 11:54,2007-04-11T11:54:00Z,2007-04-11T10:18:00Z,96
2007-04-11 13:24,2007-04-11T13:24:00Z,2007-04-11T11:54:00Z,90
2007-04-11 15:12,2007-04-11T15:12:00Z,2007-04-11T13:24:00Z,108
2007-04-11 16:36,2007-04-11T16:36:00Z,2007-04-11T15:12:00Z,84
2007-04-11 18:00,2007-04-11T18:00:00Z,2007-04-11T16:36:00Z,84
2007-04-11 19:48,2007-04-11T19:48:00Z,2007-04-11T18:00:00Z,108
2007-04-11 21:18,2007-04-11T21:18:00Z,2007-04-11T19:48:00Z,90
2007-04-11 22:54,2007-04-11T22:54:00Z,2007-04-11T21:18:00Z,96
2007-04-12 0:30,2007-04-12T00:30:00Z,2007-04-11T22:54:00Z,96
2007-04-12 2:00,2007-04-12T02:00:00Z,2007-04-12T00:30:00Z,90
2007-04-12 3:42,2007-04-12T03:42:00Z,2007-04-12T02:00:00Z,102
2007-04-12 5:18,2007-04-12T05:18:00Z,2007-04-12T03:42:00Z,96
2007-04-12 6:48,2007-04-12T06:48:00Z,2007-04-12T05:18:00Z,90
2007-04-12 8:18,2007-04-12T08:18:00Z,2007-04-12T06:48:00Z,90
2007-04-12 9:48,2007-04-12T09:48:00Z,2007-04-12T08:18:00Z,90
2007-04-12 11:18,2007-04-12T11:18:00Z,2007-04-12T09:48:00Z,90
2007-04-12 12:48,2007-04-12T12:48:00Z,2007-04-12T11:18:00Z,90
2007-04-12 14:18,2007-04-12T14:18:00Z,2007-04-12T12:48:00Z,90
2007-04-12 15:42,2007-04-12T15:42:00Z,2007-04-12T14:18:00Z,84
2007-04-12 17:18,2007-04-12T17:18:00Z,2007-04-12T15:42:00Z,96
2007-04-12 18:48,2007-04-12T18:48:00Z,2007-04-12T17:18:00Z,90
2007-04-12 20:36,2007-04-12T20:36:00Z,2007-04-12T18:48:00Z,108
2007-04-12 21:54,2007-04-12T21:54:00Z,2007-04-12T20:36:00Z,78
2007-04-12 23:36,2007-04-12T23:36:00Z,2007-04-12T21:54:00Z,102
2007-04-13 1:00,2007-04-13T01:00:00Z,2007-04-12T23:36:00Z,84
2007-04-13 2:36,2007-04-13T02:36:00Z,2007-04-13T01:00:00Z,96
2007-04-13 4:12,2007-04-13T04:12:00Z,2007-04-13T02:36:00Z,96
2007-04-13 5:42,2007-04-13T05:42:00Z,2007-04-13T04:12:00Z,90
2007-04-13 7:12,2007-04-13T07:12:00Z,2007-04-13T05:42:00Z,90
2007-04-13 8:36,2007-04-13T08:36:00Z,2007-04-13T07:12:00Z,84
2007-04-13 10:00,2007-04-13T10:00:00Z,2007-04-13T08:36:00Z,84
2007-04-13 11:30,2007-04-13T11:30:00Z,2007-04-13T10:00:00Z,90
2007-04-13 13:00,2007-04-13T13:00:00Z,2007-04-13T11:30:00Z,90
2007-04-13 14:30,2007-04-13T14:30:00Z,2007-04-13T13:00:00Z,90
2007-04-13 16:06,2007-04-13T16:06:00Z,2007-04-13T14:30:00Z,96
2007-04-13 17:30,2007-04-13T17:30:00Z,2007-04-13T16:06:00Z,84
2007-04-13 19:00,2007-04-13T19:00:00Z,2007-04-13T17:30:00Z,90
2007-04-13 20:30,2007-04-13T20:30:00Z,2007-04-13T19:00:00Z,90
2007-04-13 22:00,2007-04-13T22:00:00Z,2007-04-13T20:30:00Z,90
2007-04-13 23:24,2007-04-13T23:24:00Z,2007-04-13T22:00:00Z,84
2007-04-14 0:54,2007-04-14T00:54:00Z,2007-04-13T23:24:00Z,90
2007-04-14 2:24,2007-04-14T02:24:00Z,2007-04-14T00:54:00Z,90
2007-04-14 3:48,2007-04-14T03:48:00Z,2007-04-14T02:24:00Z,84
2007-04-14 5:24,2007-04-14T05:24:00Z,2007-04-14T03:48:00Z,96
2007-04-14 6:54,2007-04-14T06:54:00Z,2007-04-14T05:24:00Z,90
2007-04-14 8:24,2007-04-14T08:24:00Z,2007-04-14T06:54:00Z,90
2007-04-14 10:00,2007-04-14T10:00:00Z,2007-04-14T08:24:00Z,96
2007-04-14 11:36,2007-04-14T11:36:00Z,2007-04-14T10:00:00Z,96
2007-04-14 13:06,2007-04-14T13:06:00Z,2007-04-14T11:36:00Z,90
2007-04-14 14:42,2007-04-14T14:42:00Z,2007-04-14T13:06:00Z,96
2007-04-14 16:06,2007-04-14T16:06:00Z,2007-04-14T14:42:00Z,84
2007-04-14 17:36,2007-04-14T17:36:00Z,2007-04-14T16:06:00Z,90
2007-04-14 19:06,2007-04-14T19:06:00Z,2007-04-14T17:36:00Z,90
2007-04-14 20:42,2007-04-14T20:42:00Z,2007-04-14T19:06:00Z,96
2007-04-14 22:06,2007-04-14T22:06:00Z,2007-04-14T20:42:00Z,84
2007-04-14 23:42,2007-04-14T23:42:00Z,2007-04-14T22:06:00Z,96
2007-04-15 1:12,2007-04-15T01:12:00Z,2007-04-14T23:42:00Z,90
2007-04-15 2:48,2007-04-15T02:48:00Z,2007-04-15T01:12:00Z,96
2007-04-15 4:18,2007-04-15T04:18:00Z,2007-04-15T02:48:00Z,90
2007-04-15 5:54,2007-04-15T05:54:00Z,2007-04-15T04:18:00Z,96
2007-04-15 7:42,2007-04-15T07:42:00Z,2007-04-15T05:54:00Z,108
2007-04-15 9:06,2007-04-15T09:06:00Z,2007-04-15T07:42:00Z,84
2007-04-15 10:42,2007-04-15T10:42:00Z,2007-04-15T09:06:00Z,96
2007-04-15 12:18,2007-04-15T12:18:00Z,2007-04-15T10:42:00Z,96
2007-04-15 13:42,2007-04-15T13:42:00Z,2007-04-15T12:18:00Z,84
2007-04-15 15:18,2007-04-15T15:18:00Z,2007-04-15T13:42:00Z,96
2007-04-15 16:54,2007-04-15T16:54:00Z,2007-04-15T15:18:00Z,96
2007-04-15 18:36,2007-04-15T18:36:00Z,2007-04-15T16:54:00Z,102
2007-04-15 19:54,2007-04-15T19:54:00Z,2007-04-15T18:36:00Z,78
2007-04-15 21:36,2007-04-15T21:36:00Z,2007-04-15T19:54:00Z,102
2007-04-15 23:06,2007-04-15T23:06:00Z,2007-04-15T21:36:00Z,90
2007-04-16 0:36,2007-04-16T00:36:00Z,2007-04-15T23:06:00Z,90
2007-04-16 2:06,2007-04-16T02:06:00Z,2007-04-16T00:36:00Z,90
2007-04-16 3:42,2007-04-16T03:42:00Z,2007-04-16T02:06:00Z,96
2007-04-16 5:12,2007-04-16T05:12:00Z,2007-04-16T03:42:00Z,90
2007-04-16 6:42,2007-04-16T06:42:00Z,2007-04-16T05:12:00Z,90
2007-04-16 8:06,2007-04-16T08:06:00Z,2007-04-16T06:42:00Z,84
2007-04-16 9:36,2007-04-16T09:36:00Z,2007-04-16T08:06:00Z,90
2007-04-16 11:12,2007-04-16T11:12:00Z,2007-04-16T09:36:00Z,96
2007-04-16 12:36,2007-04-16T12:36:00Z,2007-04-16T11:12:00Z,84
2007-04-16 14:18,2007-04-16T14:18:00Z,2007-04-16T12:36:00Z,102
2007-04-16 15:36,2007-04-16T15:36:00Z,2007-04-16T14:18:00Z,78
2007-04-16 17:06,2007-04-16T17:06:00Z,2007-04-16T15:36:00Z,90
2007-04-16 18:36,2007-04-16T18:36:00Z,2007-04-16T17:06:00Z,90
2007-04-16 20:06,2007-04-16T20:06:00Z,2007-04-16T18:36:00Z,90
2007-04-16 21:24,2007-04-16T21:24:00Z,2007-04-16T20:06:00Z,78
2007-04-16 23:00,2007-04-16T23:00:00Z,2007-04-16T21:24:00Z,96
2007-04-16 23:54,2007-04-16T23:54:00Z,2007-04-16T23:00:00Z,54
2007-04-17 1:36,2007-04-17T01:36:00Z,2007-04-16T23:54:00Z,102
2007-04-17 3:06,2007-04-17T03:06:00Z,2007-04-17T01:36:00Z,90
2007-04-17 4:42,2007-04-17T04:42:00Z,2007-04-17T03:06:00Z,96
2007-04-17 6:12,2007-04-17T06:12:00Z,2007-04-17T04:42:00Z,90
2007-04-17 7:42,2007-04-17T07:42:00Z,2007-04-17T06:12:00Z,90
2007-04-17 9:12,2007-04-17T09:12:00Z,2007-04-17T07:42:00Z,90
2007-04-17 11:00,2007-04-17T11:00:00Z,2007-04-17T09:12:00Z,108
2007-04-17 12:12,2007-04-17T12:12:00Z,2007-04-17T11:00:00Z,72
2007-04-17 13:54,2007-04-17T13:54:00Z,2007-04-17T12:12:00Z,102
2007-04-17 15:12,2007-04-17T15:12:00Z,2007-04-17T13:54:00Z,78
2007-04-17 16:54,2007-04-17T16:54:00Z,2007-04-17T15:12:00Z,102
2007-04-17 18:18,2007-04-17T18:18:00Z,2007-04-17T16:54:00Z,84
2007-04-17 19:48,2007-04-17T19:48:00Z,2007-04-17T18:18:00Z,90
2007-04-17 21:12,2007-04-17T21:12:00Z,2007-04-17T19:48:00Z,84
2007-04-17 22:48,2007-04-17T22:48:00Z,2007-04-17T21:12:00Z,96
2007-04-17 23:48,2007-04-17T23:48:00Z,2007-04-17T22:48:00Z,60
2007-04-18 1:24,2007-04-18T01:24:00Z,2007-04-17T23:48:00Z,96
2007-04-18 3:00,2007-04-18T03:00:00Z,2007-04-18T01:24:00Z,96
2007-04-18 4:24,2007-04-18T04:24:00Z,2007-04-18T03:00:00Z,84
2007-04-18 6:00,2007-04-18T06:00:00Z,2007-04-18T04:24:00Z,96
2007-04-18 7:30,2007-04-18T07:30:00Z,2007-04-18T06:00:00Z,90
2007-04-18 9:06,2007-04-18T09:06:00Z,2007-04-18T07:30:00Z,96
2007-04-18 10:36,2007-04-18T10:36:00Z,2007-04-18T09:06:00Z,90
2007-04-18 12:00,2007-04-18T12:00:00Z,2007-04-18T10:36:00Z,84
2007-04-18 13:30,2007-04-18T13:30:00Z,2007-04-18T12:00:00Z,90
2007-04-18 15:00,2007-04-18T15:00:00Z,2007-04-18T13:30:00Z,90
2007-04-18 16:06,2007-04-18T16:06:00Z,2007-04-18T15:00:00Z,66
2007-04-18 17:42,2007-04-18T17:42:00Z,2007-04-18T16:06:00Z,96
2007-04-18 19:18,2007-04-18T19:18:00Z,2007-04-18T17:42:00Z,96
2007-04-18 20:54,2007-04-18T20:54:00Z,2007-04-18T19:18:00Z,96
2007-04-18 22:24,2007-04-18T22:24:00Z,2007-04-18T20:54:00Z,90
2007-04-18 23:54,2007-04-18T23:54:00Z,2007-04-18T22:24:00Z,90
2007-04-19 1:30,2007-04-19T01:30:00Z,2007-04-18T23:54:00Z,96
2007-04-19 3:06,2007-04-19T03:06:00Z,2007-04-19T01:30:00Z,96
2007-04-19 4:30,2007-04-19T04:30:00Z,2007-04-19T03:06:00Z,84
2007-04-19 6:06,2007-04-19T06:06:00Z,2007-04-19T04:30:00Z,96
2007-04-19 7:54,2007-04-19T07:54:00Z,2007-04-19T06:06:00Z,108
2007-04-19 9:18,2007-04-19T09:18:00Z,2007-04-19T07:54:00Z,84
2007-04-19 10:54,2007-04-19T10:54:00Z,2007-04-19T09:18:00Z,96
2007-04-19 12:18,2007-04-19T12:18:00Z,2007-04-19T10:54:00Z,84
2007-04-19 17:30,2007-04-19T17:30:00Z,2007-04-19T12:18:00Z,312
2007-04-19 18:54,2007-04-19T18:54:00Z,2007-04-19T17:30:00Z,84
2007-04-19 20:30,2007-04-19T20:30:00Z,2007-04-19T18:54:00Z,96
2007-04-19 22:06,2007-04-19T22:06:00Z,2007-04-19T20:30:00Z,96
2007-04-19 23:30,2007-04-19T23:30:00Z,2007-04-19T22:06:00Z,84
2007-04-20 1:06,2007-04-20T01:06:00Z,2007-04-19T23:30:00Z,96
2007-04-20 2:36,2007-04-20T02:36:00Z,2007-04-20T01:06:00Z,90
2007-04-20 4:00,2007-04-20T04:00:00Z,2007-04-20T02:36:00Z,84
2007-04-20 5:30,2007-04-20T05:30:00Z,2007-04-20T04:00:00Z,90
2007-04-20 7:06,2007-04-20T07:06:00Z,2007-04-20T05:30:00Z,96
2007-04-20 8:36,2007-04-20T08:36:00Z,2007-04-20T07:06:00Z,90
2007-04-20 10:18,2007-04-20T10:18:00Z,2007-04-20T08:36:00Z,102
2007-04-20 11:36,2007-04-20T11:36:00Z,2007-04-20T10:18:00Z,78
2007-04-20 13:12,2007-04-20T13:12:00Z,2007-04-20T11:36:00Z,96
2007-04-20 14:36,2007-04-20T14:36:00Z,2007-04-20T13:12:00Z,84
2007-04-20 16:12,2007-04-20T16:12:00Z,2007-04-20T14:36:00Z,96
2007-04-20 17:42,2007-04-20T17:42:00Z,2007-04-20T16:12:00Z,90
2007-04-20 19:30,2007-04-20T19:30:00Z,2007-04-20T17:42:00Z,108
2007-04-20 21:00,2007-04-20T21:00:00Z,2007-04-20T19:30:00Z,90
2007-04-20 22:24,2007-04-20T22:24:00Z,2007-04-20T21:00:00Z,84
2007-04-21 0:00,2007-04-21T00:00:00Z,2007-04-20T22:24:00Z,96
2007-04-21 1:30,2007-04-21T01:30:00Z,2007-04-21T00:00:00Z,90
2007-04-21 3:00,2007-04-21T03:00:00Z,2007-04-21T01:30:00Z,90
2007-04-21 4:30,2007-04-21T04:30:00Z,2007-04-21T03:00:00Z,90
2007-04-21 5:54,2007-04-21T05:54:00Z,2007-04-21T04:30:00Z,84
2007-04-21 7:24,2007-04-21T07:24:00Z,2007-04-21T05:54:00Z,90
2007-04-21 8:54,2007-04-21T08:54:00Z,2007-04-21T07:24:00Z,90
2007-04-21 10:30,2007-04-21T10:30:00Z,2007-04-21T08:54:00Z,96
2007-04-21 11:54,2007-04-21T11:54:00Z,2007-04-21T10:30:00Z,84
2007-04-21 13:36,2007-04-21T13:36:00Z,2007-04-21T11:54:00Z,102
2007-04-21 15:12,2007-04-21T15:12:00Z,2007-04-21T13:36:00Z,96
2007-04-21 16:12,2007-04-21T16:12:00Z,2007-04-21T15:12:00Z,60
2007-04-21 17:48,2007-04-21T17:48:00Z,2007-04-21T16:12:00Z,96
2007-04-21 19:24,2007-04-21T19:24:00Z,2007-04-21T17:48:00Z,96
2007-04-21 20:48,2007-04-21T20:48:00Z,2007-04-21T19:24:00Z,84
2007-04-21 22:12,2007-04-21T22:12:00Z,2007-04-21T20:48:00Z,84
2007-04-21 23:18,2007-04-21T23:18:00Z,2007-04-21T22:12:00Z,66
2007-04-22 0:54,2007-04-22T00:54:00Z,2007-04-21T23:18:00Z,96
2007-04-22 2:24,2007-04-22T02:24:00Z,2007-04-22T00:54:00Z,90
